Time [s],TX hub @ 115200,RX hub @ 115200
2.409159500,1,1
2.409168000,1,0
2.409246000,1,1
2.409254750,1,0
2.409332750,1,1
2.409341500,1,0
2.409350250,1,1
2.409358750,1,0
2.409393500,1,1
2.409411000,1,0
2.409419500,1,1
2.409428250,1,0
2.409437000,1,1
2.409445500,1,0
2.409454250,1,1
2.409463000,1,0
2.409489000,1,1
2.409497500,1,0
2.409506250,1,1
2.409515000,1,0
2.409541000,1,1
2.409549750,1,0
2.409575750,1,1
2.409584250,1,0
2.409593000,1,1
2.410208750,1,0
2.410234750,1,1
2.410243500,1,0
2.410252250,1,1
2.410260750,1,0
2.410278250,1,1
2.410295500,1,0
2.410321500,1,1
2.410330250,1,0
2.410373500,1,1
2.410382250,1,0
2.410391000,1,1
2.410408250,1,0
2.410443000,1,1
2.410451750,1,0
2.410460250,1,1
2.410469000,1,0
2.410477750,1,1
2.410486250,1,0
2.410529750,1,1
2.410538250,1,0
2.410547000,1,1
2.410555750,1,0
2.410581750,1,1
2.410599000,1,0
2.410616500,1,1
2.410625000,1,0
2.410633750,1,1
2.410642500,1,0
2.410720500,1,1
2.410729250,1,0
2.410737750,1,1
2.410746500,1,0
2.410781250,1,1
2.410790000,1,0
2.410807250,1,1
2.412238250,1,0
2.412264250,1,1
2.412281500,1,0
2.412307500,1,1
2.412325000,1,0
2.412333500,1,1
2.412342250,1,0
2.412351000,1,1
2.412359750,1,0
2.412403000,1,1
2.412411750,1,0
2.412489750,1,1
2.412498500,1,0
2.412576500,1,1
2.412585250,1,0
2.412602500,1,1
2.412619750,1,0
2.412628500,1,1
2.412654500,1,0
2.412663250,1,1
2.414692500,1,0
2.414718500,1,1
2.414727250,1,0
2.414736000,1,1
2.414744750,1,0
2.414762000,1,1
2.414779250,1,0
2.414848750,1,1
2.414866000,1,0
2.414883500,1,1
2.414892000,1,0
2.414944000,1,1
2.414952750,1,0
2.414961500,1,1
2.414970250,1,0
2.415030750,1,1
2.415039500,1,0
2.415048250,1,1
2.415056750,1,0
2.415065500,1,1
2.415074250,1,0
2.415117500,1,1
2.415126250,1,0
2.415204250,1,1
2.415213000,1,0
2.415221500,1,1
2.415230250,1,0
2.415239000,1,1
2.415256250,1,0
2.415265000,1,1
2.434041250,1,0
2.434049750,1,1
2.434067250,1,0
2.434093250,1,1
2.434102000,1,0
2.434110500,1,1
2.434128000,1,0
2.434206000,1,1
2.434214750,1,0
2.434223250,1,1
2.434232000,1,0
2.434275250,1,1
2.434284000,1,0
2.434292750,1,1
2.434301250,1,0
2.434344750,1,1
2.434353250,1,0
2.434362000,1,1
2.434370750,1,0
2.434379500,1,1
2.434388000,1,0
2.434396750,1,1
2.434431500,1,0
2.434448750,1,1
2.434457500,1,0
2.434466000,1,1
2.434474750,1,0
2.434483500,1,1
2.434500750,1,0
2.434518250,1,1
2.434526750,1,0
2.434535500,1,1
2.434544250,1,0
2.434552750,1,1
2.434561500,1,0
2.434639500,1,1
